time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.437041367494762689e-01
2.008113590263688880e-02,6.693190585993488229e-04,-1.244387409296581230e-03,6.558947464409049799e-02,-1.223428471890581903e-01,0.000000000000000000e+00,-1.520488211886605878e-01
4.016227180527377760e-02,2.606825284240128077e-03,-4.871638369661294814e-03,1.262103417528043781e-01,-2.371883880035745851e-01,0.000000000000000000e+00,-1.603935056278449345e-01
6.024340770791066640e-02,5.706842251686438348e-03,-1.072288597980659321e-02,1.816653631538650560e-01,-3.442587885976634565e-01,0.000000000000000000e+00,-1.687381900670292534e-01
8.032454361054755521e-02,9.863693535702378057e-03,-1.863926333844493494e-02,2.317573006749959474e-01,-4.432762151254389105e-01,0.000000000000000000e+00,-1.770828745062135723e-01
1.004056795131844371e-01,1.497170029108443184e-02,-2.846190018858597501e-02,2.762890420838627903e-01,-5.339630633063713328e-01,0.000000000000000000e+00,-1.854508884592785956e-01
1.204868154158213328e-01,2.092023195254173740e-02,-4.002592945333689756e-02,3.154339185674376878e-01,-6.166954138460291057e-01,0.000000000000000000e+00,-1.949503838355581276e-01
1.405679513184582285e-01,2.760377958474217672e-02,-5.317692738286271259e-02,3.495319332451318206e-01,-6.920702981134614351e-01,0.000000000000000000e+00,-2.044498792118376873e-01
1.606490872210951104e-01,3.492364279039422009e-02,-6.777071352032355833e-02,3.786727518223289013e-01,-7.602085374744896873e-01,0.000000000000000000e+00,-2.139493745881172193e-01
1.807302231237319923e-01,4.278112117220636557e-02,-8.366310740887955566e-02,4.029460400044125867e-01,-8.212309532949362278e-01,0.000000000000000000e+00,-2.234488699643967513e-01
2.008113590263688741e-01,5.107749728337869499e-02,-1.007099021276592621e-01,4.224394896323371840e-01,-8.752546909930456476e-01,0.000000000000000000e+00,-2.327336675859478787e-01
2.208924949290057838e-01,5.970014655807848875e-02,-1.187422062429793340e-01,4.360298318616717128e-01,-9.201128140398421307e-01,0.000000000000000000e+00,-2.369193935326976697e-01
2.409736308316426656e-01,6.852822106621279941e-02,-1.375669250447327796e-01,4.431153751592194490e-01,-9.545030245966600324e-01,0.000000000000000000e+00,-2.411051194794474606e-01
2.610547667342795752e-01,7.744821815264582576e-02,-1.569997295699414597e-01,4.442843216463534528e-01,-9.793143926914340547e-01,0.000000000000000000e+00,-2.452908454261972515e-01
2.811359026369164571e-01,8.634663516224173885e-02,-1.768562908556272351e-01,4.401248734444465072e-01,-9.954359883520986774e-01,0.000000000000000000e+00,-2.494765713729470424e-01
3.012170385395533390e-01,9.510994487423442278e-02,-1.969522416204946558e-01,4.312199541075983911e-01,-1.003747048770613048e+00,0.000000000000000000e+00,-2.532776866056696830e-01
3.212981744421902208e-01,1.036204782231647664e-01,-2.170928485665223340e-01,4.166190684593265581e-01,-1.002249689013540834e+00,0.000000000000000000e+00,-2.511173357709694520e-01
3.413793103448271027e-01,1.117737668338314588e-01,-2.370901074215941984e-01,3.959244332934604982e-01,-9.899021612862997088e-01,0.000000000000000000e+00,-2.489569849362692211e-01
3.614604462474639845e-01,1.194738197955654696e-01,-2.567661735894421482e-01,3.700551017029726775e-01,-9.680994674932997812e-01,0.000000000000000000e+00,-2.467966341015689902e-01
3.815415821501008664e-01,1.266246461976978654e-01,-2.759432024737977773e-01,3.399301267808357285e-01,-9.382366095389500504e-01,0.000000000000000000e+00,-2.446362832668687315e-01
4.016227180527377483e-01,1.331302452825736393e-01,-2.944433330899731693e-01,3.064590959619487021e-01,-9.016909536226799249e-01,0.000000000000000000e+00,-2.419585794720766903e-01
4.217038539553746856e-01,1.389003932703822830e-01,-3.120932837030175877e-01,2.689151588472573629e-01,-8.567839282366193077e-01,0.000000000000000000e+00,-2.333959857562377671e-01
4.417849898580115675e-01,1.438709191430445899e-01,-3.287459462606747707e-01,2.270765241712489890e-01,-8.027538904934600206e-01,0.000000000000000000e+00,-2.248333920403988717e-01
4.618661257606484494e-01,1.479843500656891908e-01,-3.442617184584862433e-01,1.819599229924995509e-01,-7.411416207688698021e-01,0.000000000000000000e+00,-2.162707983245599763e-01
4.819472616632853312e-01,1.511832132034446607e-01,-3.585009979919930312e-01,1.345820863695853797e-01,-6.734878994385162798e-01,0.000000000000000000e+00,-2.077082046087210809e-01
5.020283975659222131e-01,1.534100684858154262e-01,-3.713242251628315893e-01,8.594716938347619906e-02,-6.013100746270656494e-01,0.000000000000000000e+00,-1.985991035966063745e-01
5.221095334685591505e-01,1.546206106868197871e-01,-3.826076578939424100e-01,3.559181590924185429e-02,-5.234034421166543494e-01,0.000000000000000000e+00,-1.846260876476347734e-01
5.421906693711959768e-01,1.548001064662577198e-01,-3.922618636174111661e-01,-1.656473310371680413e-02,-4.393165366454948595e-01,0.000000000000000000e+00,-1.706530716986632557e-01
5.622718052738329142e-01,1.539374762583681222e-01,-4.002013192533890318e-01,-6.962286966161312929e-02,-3.504327635916171801e-01,0.000000000000000000e+00,-1.566800557496916824e-01
5.823529411764697405e-01,1.520216404973899760e-01,-4.063405017220267923e-01,-1.226829857706593363e-01,-2.581355283330535322e-01,0.000000000000000000e+00,-1.427070398007201368e-01
6.024340770791066779e-01,1.490416112768772339e-01,-4.105940052318647893e-01,-1.748579807474799352e-01,-1.637849894325500988e-01,0.000000000000000000e+00,-1.282885224938933866e-01
6.225152129817435043e-01,1.450028951224182072e-01,-4.128982849228577390e-01,-2.263350960820479374e-01,-6.677659788253605122e-02,0.000000000000000000e+00,-1.106401203426155833e-01
6.425963488843804416e-01,1.399367337039179870e-01,-4.132251098896823627e-01,-2.770975915152765756e-01,3.301358845208855058e-02,0.000000000000000000e+00,-9.299171819133766892e-02
6.626774847870173790e-01,1.338750910476336486e-01,-4.115476370363491121e-01,-3.265046162778133532e-01,1.345297672060603023e-01,0.000000000000000000e+00,-7.534331604005975458e-02
6.827586206896542054e-01,1.268499311798223506e-01,-4.078390232668684945e-01,-3.739153196003054958e-01,2.367161360141158133e-01,0.000000000000000000e+00,-5.769491388878195126e-02
7.028397565922911427e-01,1.188933666268253558e-01,-4.020726168782022270e-01,-4.186969188030455480e-01,3.385316932334055950e-01,0.000000000000000000e+00,-3.981267660507249728e-02
7.229208924949279691e-01,1.100535639687641315e-01,-3.942457096320629018e-01,-4.607797669169870769e-01,4.399267230930752892e-01,0.000000000000000000e+00,-2.051072601731394190e-02
7.430020283975649065e-01,1.003961313824545259e-01,-3.843879583973914271e-01,-5.001023351054409982e-01,5.407394298587294701e-01,0.000000000000000000e+00,-1.208775429555275505e-03
7.630831643002017328e-01,8.998514881165724233e-02,-3.725288906484565676e-01,-5.363451746040741597e-01,6.403112332929941086e-01,0.000000000000000000e+00,1.809317515820327987e-02
7.831643002028386702e-01,7.888469620013281725e-02,-3.586980338595266993e-01,-5.691888366485542416e-01,7.379835531584976183e-01,0.000000000000000000e+00,3.739512574596194627e-02
8.032454361054754965e-01,6.715904247903364821e-02,-3.429251801517775311e-01,-5.983129193367348053e-01,8.330955870075451575e-01,0.000000000000000000e+00,5.664956299103350579e-02
8.233265720081124339e-01,5.488539060951135029e-02,-3.252636342399703451e-01,-6.234249181196941381e-01,9.249762893852984114e-01,0.000000000000000000e+00,7.565752477091630679e-02
8.434077079107493713e-01,4.214832178173108512e-02,-3.057928330639509418e-01,-6.444675812493637634e-01,1.013282840672560914e+00,0.000000000000000000e+00,9.466548655079910779e-02
8.634888438133861976e-01,2.902937703666644623e-02,-2.845907694937783727e-01,-6.614475011035738650e-01,1.097782055383150324e+00,0.000000000000000000e+00,1.136734483306817978e-01
8.835699797160231350e-01,1.561009741529080855e-02,-2.617354363995112454e-01,-6.743712700601548482e-01,1.178240748030886520e+00,0.000000000000000000e+00,1.326814101105646126e-01
9.036511156186599614e-01,1.972244883262584333e-03,-2.373051846459431069e-01,-6.832291686050427915e-01,1.254394858592130513e+00,0.000000000000000000e+00,1.512786922005860124e-01
9.237322515212968987e-01,-1.179310451937384471e-02,-2.114009229086659392e-01,-6.874612614386780285e-01,1.324907922942909044e+00,0.000000000000000000e+00,1.680279156862310164e-01
9.438133874239337251e-01,-2.559663963713419699e-02,-1.841417254651982471e-01,-6.870251599283339061e-01,1.389335823062673780e+00,0.000000000000000000e+00,1.847771391718759093e-01
9.638945233265706625e-01,-3.935310907419014431e-02,-1.556436658712296583e-01,-6.822441216689237864e-01,1.447911675779142815e+00,0.000000000000000000e+00,2.015263626575209133e-01
9.839756592292075998e-01,-5.297726143471313126e-02,-1.260228176824500779e-01,-6.734414042553613644e-01,1.500868597920033354e+00,0.000000000000000000e+00,2.182755861431658895e-01
1.004056795131844426e+00,-6.638359001770136048e-02,-9.539572555969499934e-02,-6.609000240513992486e-01,1.548364485307282434e+00,0.000000000000000000e+00,2.341466066283908742e-01
1.024137931034481364e+00,-7.948050352886235070e-02,-6.389991065976885487e-02,-6.437150591362909013e-01,1.588319041167640888e+00,0.000000000000000000e+00,2.465487252619557867e-01
1.044219066937118301e+00,-9.218594100010166215e-02,-3.168174655343263674e-02,-6.218630355743919313e-01,1.620251787919006814e+00,0.000000000000000000e+00,2.589508438955206993e-01
1.064300202839755016e+00,-1.044226766049408534e-01,1.117018819461059560e-03,-5.959817218476545220e-01,1.644910504057888412e+00,0.000000000000000000e+00,2.713529625290855285e-01
1.084381338742391954e+00,-1.161134845169018714e-01,3.435463751906076002e-02,-5.667088864380296354e-01,1.663042968080793438e+00,0.000000000000000000e+00,2.837550811626504688e-01
1.104462474645028891e+00,-1.271808760043453557e-01,6.788882825189329617e-02,-5.346096893232424874e-01,1.675261757558594855e+00,0.000000000000000000e+00,2.947289444707679174e-01
1.124543610547665828e+00,-1.375451419258583163e-01,1.015606032614414511e-01,-4.984155536707559064e-01,1.678755190899278604e+00,0.000000000000000000e+00,3.007039141398171744e-01
1.144624746450302766e+00,-1.471427410878641262e-01,1.352119083679002298e-01,-4.581356807115976038e-01,1.673065433309989025e+00,0.000000000000000000e+00,3.066788838088664315e-01
1.164705882352939481e+00,-1.559152484361167879e-01,1.686901271832776661e-01,-4.146979786210055474e-01,1.659441386061003332e+00,0.000000000000000000e+00,3.126538534779156331e-01
1.184787018255576418e+00,-1.638042389163707757e-01,2.018426433195831537e-01,-3.690303555742162622e-01,1.639131950422598516e+00,0.000000000000000000e+00,3.186288231469648902e-01
1.204868154158213356e+00,-1.707511562865436372e-01,2.345164741656931839e-01,-3.219582208198137896e-01,1.613195273723712964e+00,0.000000000000000000e+00,3.227479332218877173e-01
1.224949290060850293e+00,-1.767024615661154097e-01,2.665530563363099348e-01,-2.720679164484177126e-01,1.578524523494183374e+00,0.000000000000000000e+00,3.210674820651629457e-01
1.245030425963487009e+00,-1.816263528316704179e-01,2.978052430277476903e-01,-2.194380131708888459e-01,1.534794983375118882e+00,0.000000000000000000e+00,3.193870309084381742e-01
1.265111561866123946e+00,-1.854952607487476701e-01,3.281304206353761743e-01,-1.651640856675300473e-01,1.483575358860886206e+00,0.000000000000000000e+00,3.177065797517134027e-01
1.285192697768760883e+00,-1.882816159828860081e-01,3.573859755545640837e-01,-1.103417086186462143e-01,1.426434355445853175e+00,0.000000000000000000e+00,3.160261285949886312e-01
1.305273833671397821e+00,-1.899580786524309728e-01,3.854294380195572023e-01,-5.595545750778192079e-02,1.364734173073340662e+00,0.000000000000000000e+00,3.124802368450032564e-01
1.325354969574034758e+00,-1.905126953235929121e-01,4.121304868888583384e-01,-8.488855173480051083e-04,1.295883006951199956e+00,0.000000000000000000e+00,3.036967618908607558e-01
1.345436105476671473e+00,-1.899573557029597404e-01,4.373798118321270967e-01,5.482383151295060209e-02,1.219798113857276656e+00,0.000000000000000000e+00,2.949132869367183107e-01
1.365517241379308411e+00,-1.883058925471040312e-01,4.610701743057832869e-01,1.100401104646348271e-01,1.138022316427911962e+00,0.000000000000000000e+00,2.861298119825758102e-01
1.385598377281945348e+00,-1.855721386125981920e-01,4.830943357662455528e-01,1.637773682192237845e-01,1.052098437299449740e+00,0.000000000000000000e+00,2.773463370284332541e-01
1.405679513184582285e+00,-1.817706603979195867e-01,5.033459244925684306e-01,2.150967969952579384e-01,9.634141682617552993e-01,0.000000000000000000e+00,2.672709566661482516e-01
1.425760649087219001e+00,-1.769401719825829111e-01,5.217487218599469179e-01,2.645419899712110334e-01,8.706788877800134552e-01,0.000000000000000000e+00,2.539196733046432675e-01
1.445841784989855938e+00,-1.711391835219311375e-01,5.382536894967742125e-01,3.119424266385025235e-01,7.740800207564607627e-01,0.000000000000000000e+00,2.405683899431381445e-01
1.465922920892492876e+00,-1.644252339258769624e-01,5.528111497616189363e-01,3.566183082424189688e-01,6.747689002047477791e-01,0.000000000000000000e+00,2.272171065816330215e-01
1.486004056795129813e+00,-1.568558621043331935e-01,5.653714250130493779e-01,3.978898360282474012e-01,5.738968591385232854e-01,0.000000000000000000e+00,2.138658232201278708e-01
1.506085192697766750e+00,-1.484897023939301397e-01,5.758862794497493498e-01,4.351051051918521928e-01,4.725656596511254581e-01,0.000000000000000000e+00,2.001740934141123252e-01
1.526166328600403466e+00,-1.394102969106765788e-01,5.843466802068708610e-01,4.681570951402055369e-01,3.709892085779508131e-01,0.000000000000000000e+00,1.856993367857225352e-01
1.546247464503040403e+00,-1.297103225046856156e-01,5.907700445773096387e-01,4.969705205291565786e-01,2.695058875100468931e-01,0.000000000000000000e+00,1.712245801573326065e-01
1.566328600405677340e+00,-1.194792461508385750e-01,5.951714012142542698e-01,5.213627916178240618e-01,1.686677933786921435e-01,0.000000000000000000e+00,1.567498235289426500e-01
1.586409736308314278e+00,-1.088065348240164765e-01,5.975657787708932300e-01,5.411513186653267304e-01,6.902702311516364930e-02,0.000000000000000000e+00,1.422750669005526936e-01
