time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.756847651071469507e-01
1.000183826292354392e-03,-2.123658790059794071e-06,3.920528702115038216e-06,-4.153413601233042415e-03,7.695179126628622426e-03,0.000000000000000000e+00,1.767096821103994464e-01
2.000367652584708784e-03,-8.506228366649308946e-06,1.570491355984814249e-05,-8.331190763654129985e-03,1.543545904426008898e-02,0.000000000000000000e+00,1.777345991136519698e-01
3.000551478877063177e-03,-1.916509853938374192e-05,3.538735270028130572e-05,-1.253316043282436121e-02,2.322057229722714056e-02,0.000000000000000000e+00,1.787595161169044655e-01
4.000735305169417569e-03,-3.411765911787830385e-05,6.300204425049651404e-05,-1.675915155430482417e-02,3.105025142986251804e-02,0.000000000000000000e+00,1.797844331201569890e-01
5.000919131461771527e-03,-5.338129991174816238e-05,9.858318633757572817e-05,-2.100899307365661217e-02,3.892422898649895713e-02,0.000000000000000000e+00,1.808093501234094846e-01
6.001102957754126353e-03,-7.697341073060856478e-05,1.421649770886009901e-04,-2.528251393644082370e-02,4.684223751146920217e-02,0.000000000000000000e+00,1.818342671266620081e-01
7.001286784046481179e-03,-1.049113813840746838e-04,1.937816146306543081e-04,-2.957954308821854339e-02,5.480400954910599753e-02,0.000000000000000000e+00,1.828591841299145038e-01
8.001470610338835138e-03,-1.372126016817617057e-04,2.534672970908175005e-04,-3.389990947455086279e-02,6.280927764374207023e-02,0.000000000000000000e+00,1.838841011331670272e-01
9.001654436631189096e-03,-1.738944614332848236e-04,3.212562225961727923e-04,-3.824344204099888733e-02,7.085777433971017503e-02,0.000000000000000000e+00,1.849090181364195229e-01
1.000183826292354305e-02,-2.149743504482592711e-04,3.971825892738018934e-04,-4.260996973312369818e-02,7.894923218134303200e-02,0.000000000000000000e+00,1.859339351396720186e-01
1.100202208921589875e-02,-2.604696585363003498e-04,4.812805952507871916e-04,-4.699932149648639035e-02,8.708338371297341673e-02,0.000000000000000000e+00,1.869588521429245420e-01
1.200220591550825271e-02,-3.103977755070229817e-04,5.735844386542102071e-04,-5.141132627664805888e-02,9.525996147893403543e-02,0.000000000000000000e+00,1.879837691461770377e-01
