time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.756847651071469507e-01
2.008621596782267371e-02,-8.787938219210424031e-04,1.625045273311036872e-03,-8.788183670061472386e-02,1.628716056632087961e-01,0.000000000000000000e+00,1.962676857015917542e-01
4.017243193564534742e-02,-3.609073747743380203e-03,6.684838173509199434e-03,-1.842732299161174980e-01,3.418743375487534042e-01,0.000000000000000000e+00,2.168506062960365299e-01
6.025864790346802113e-02,-8.331687467555829937e-03,1.545636432099206474e-02,-2.877887347720306521e-01,5.348419549807261753e-01,0.000000000000000000e+00,2.374335268904813057e-01
8.034486387129069485e-02,-1.518748267144720381e-02,2.821660933615720637e-02,-3.970429063938764602e-01,7.396082172832193491e-01,0.000000000000000000e+00,2.580164474849261369e-01
1.004310798391133686e-01,-2.430754736212905470e-02,4.522768729515680430e-02,-5.105375701324462723e-01,9.538181997690199365e-01,0.000000000000000000e+00,2.783657706389022213e-01
1.205172958069360423e-01,-3.573931477992198930e-02,6.661941877206443985e-02,-6.264926279004878751e-01,1.174627232627075690e+00,0.000000000000000000e+00,2.986700629609808089e-01
1.406035117747587160e-01,-4.948934495548035911e-02,9.245564098210219683e-02,-7.431811695704041432e-01,1.399265954044048854e+00,0.000000000000000000e+00,3.189743552830593409e-01
1.606897277425813897e-01,-6.556397503178576502e-02,1.227998142382111940e-01,-8.588789994478953638e-01,1.624969407446542613e+00,0.000000000000000000e+00,3.392786476051379285e-01
1.807759437104040634e-01,-8.395094267285115042e-02,1.576835023099810440e-01,-9.698296455432202645e-01,1.845217231153523096e+00,0.000000000000000000e+00,3.473128183634837662e-01
2.008621596782267371e-01,-1.044543505289576568e-01,1.968182946281386292e-01,-1.068123834731425026e+00,2.045750129816902074e+00,0.000000000000000000e+00,3.494866325540765817e-01
2.209483756460494108e-01,-1.267746361615706696e-01,2.397324581180193259e-01,-1.151979207369613123e+00,2.223559262552142091e+00,0.000000000000000000e+00,3.516604467446693416e-01
2.410345916138720845e-01,-1.506111340222508199e-01,2.859521800900234889e-01,-1.220084177647797086e+00,2.376503305251676856e+00,0.000000000000000000e+00,3.538342609352621571e-01
2.611208075816947582e-01,-1.756514041628208234e-01,3.349833320718610397e-01,-1.269960560597518162e+00,2.500283584670430770e+00,0.000000000000000000e+00,3.462971494054798982e-01
2.812070235495174320e-01,-2.014446552580335947e-01,3.860872810249159071e-01,-1.294380881933753891e+00,2.581700723303493650e+00,0.000000000000000000e+00,3.296203430800503376e-01
3.012932395173401057e-01,-2.274698698175822986e-01,4.383954739043474658e-01,-1.292697743877062599e+00,2.619545290609599064e+00,0.000000000000000000e+00,3.129435367546207769e-01
3.213794554851627794e-01,-2.532079002122293865e-01,4.910419910280041655e-01,-1.265366360154557057e+00,2.614634790189623192e+00,0.000000000000000000e+00,2.962667304291912163e-01
3.414656714529854531e-01,-2.781363620995369601e-01,5.431558462387787722e-01,-1.212472004142860715e+00,2.567104422711016909e+00,0.000000000000000000e+00,2.745828098873696610e-01
3.615518874208081268e-01,-3.016945895740442696e-01,5.937972559133880557e-01,-1.130687280567644226e+00,2.470611191984805277e+00,0.000000000000000000e+00,2.437430233498596444e-01
3.816381033886308005e-01,-3.233410805982812053e-01,6.420382682138473518e-01,-1.020845724498202323e+00,2.326109704584387039e+00,0.000000000000000000e+00,2.129032368123496277e-01
4.017243193564534742e-01,-3.425442922827915959e-01,6.869644960516066989e-01,-8.851387627677621550e-01,2.137017032396617111e+00,0.000000000000000000e+00,1.820634502748396111e-01
4.218105353242761479e-01,-3.587726415887826925e-01,7.276618095494621352e-01,-7.257062170746405583e-01,1.906653501185222144e+00,0.000000000000000000e+00,1.498299104714778951e-01
4.418967512920988217e-01,-3.715269466767375239e-01,7.632667312653736991e-01,-5.429962578293539011e-01,1.634972943689416036e+00,0.000000000000000000e+00,1.117279358645297538e-01
4.619829672599214954e-01,-3.804021258184326348e-01,7.930266087137145536e-01,-3.386330873136256248e-01,1.323594772255686891e+00,0.000000000000000000e+00,7.362596125758161247e-02
4.820691832277441691e-01,-3.850093398701525116e-01,8.162034241320155203e-01,-1.151982483603943286e-01,9.758434916515988933e-01,0.000000000000000000e+00,3.552398665063345728e-02
5.021553991955668428e-01,-3.849597544135242577e-01,8.320591722143747537e-01,1.247270092410486392e-01,5.950429474884048053e-01,0.000000000000000000e+00,-2.627498664506921523e-03
5.222416151633895165e-01,-3.799037661681043399e-01,8.399079219526944806e-01,3.789500591610615587e-01,1.836052071617178538e-01,0.000000000000000000e+00,-4.236332664179987689e-02
5.423278311312121902e-01,-3.696184209023886669e-01,8.392042217265917037e-01,6.454327007040012720e-01,-2.565467491480369899e-01,0.000000000000000000e+00,-8.209915461909282619e-02
5.624140470990348639e-01,-3.539058550838284356e-01,8.294232811013620976e-01,9.218818658830696400e-01,-7.229499898224553966e-01,0.000000000000000000e+00,-1.218349825963857824e-01
5.825002630668575376e-01,-3.325682051798745098e-01,8.100403096423013372e-01,1.206004486711468537e+00,-1.213141583243133814e+00,0.000000000000000000e+00,-1.615708105736787525e-01
6.025864790346802113e-01,-3.054284520952554871e-01,7.805470084353473004e-01,1.495119036405639701e+00,-1.723983129322055774e+00,0.000000000000000000e+00,-1.986863059711383717e-01
6.226726950025028851e-01,-2.724532928388820330e-01,7.406158521734566014e-01,1.786104477411885494e+00,-2.251087571420825828e+00,0.000000000000000000e+00,-2.354057045832742556e-01
6.427589109703255588e-01,-2.336691565213643851e-01,6.900144132269033781e-01,2.076323486846017641e+00,-2.790563431605340039e+00,0.000000000000000000e+00,-2.721251031954101673e-01
6.628451269381482325e-01,-1.891026410238477173e-01,6.285107286758230272e-01,2.363146651573226009e+00,-3.338530593739074348e+00,0.000000000000000000e+00,-3.088445018075460791e-01
