time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.189393281514252665e-02
1.010204081632651713e-01,1.476949597481996314e-02,-2.806124642380148498e-02,2.755973863781022160e-01,-5.323066206016153767e-01,0.000000000000000000e+00,-1.850835077116797511e-01
2.020408163265303425e-01,5.066210475741764890e-02,-9.982525401456192327e-02,4.219357837671884881e-01,-8.733393519064587274e-01,0.000000000000000000e+00,-2.310012215739093988e-01
3.030612244897954999e-01,9.452893797710670842e-02,-1.955640724233616567e-01,4.320974028532252320e-01,-1.003638430747477717e+00,0.000000000000000000e+00,-2.503746061609849471e-01
4.040816326530606850e-01,1.325860543650939916e-01,-2.928128029987255299e-01,3.094301370633983361e-01,-9.050067968761892345e-01,0.000000000000000000e+00,-2.414130675272077309e-01
5.051020408163258146e-01,1.531960832202294287e-01,-3.699399873954784534e-01,9.102712779406582633e-02,-6.089411211556690073e-01,0.000000000000000000e+00,-1.987900397153886667e-01
6.061224489795909998e-01,1.494306266122403526e-01,-4.100337083633620594e-01,-1.685218224951534893e-01,-1.754530370793290217e-01,0.000000000000000000e+00,-1.296845980912215146e-01
7.071428571428561849e-01,1.200463206470621519e-01,-4.028769031120830180e-01,-4.124998329045206913e-01,3.240302641938443418e-01,0.000000000000000000e+00,-4.201708775367933579e-02
8.081632653061213700e-01,6.906523352578365638e-02,-3.454796847673260451e-01,-5.938838368106366117e-01,8.178189192650174855e-01,0.000000000000000000e+00,5.348574343828723515e-02
9.091836734693865552e-01,4.433210150811122199e-03,-2.417475100428486401e-01,-6.819957044335921426e-01,1.240863314680832552e+00,0.000000000000000000e+00,1.476779259398824096e-01
1.010204081632651629e+00,-6.373073817743092617e-02,-1.015570712166562056e-01,-6.638220392765409317e-01,1.539235560529651048e+00,0.000000000000000000e+00,2.308789672694919193e-01
1.111224489795916925e+00,-1.248166274352530414e-01,6.051246552895923198e-02,-5.421853519360274598e-01,1.673323438502601235e+00,0.000000000000000000e+00,2.919313409718999885e-01
1.212244897959182000e+00,-1.691932849471814160e-01,2.267309740910127547e-01,-3.335792920852858057e-01,1.620094256568321178e+00,0.000000000000000000e+00,3.219602959231065431e-01
1.313265306122447296e+00,-1.896622565788195491e-01,3.782678984957123514e-01,-7.025534446732650817e-02,1.381485555345997041e+00,0.000000000000000000e+00,3.138513543363159464e-01
1.414285714285712370e+00,-1.829850409490228480e-01,4.978789745314314841e-01,2.008134253748085629e-01,9.888354957136542556e-01,0.000000000000000000e+00,2.704140126631931484e-01
1.515306122448977666e+00,-1.511320286344063624e-01,5.729921050359809698e-01,4.242859435327200890e-01,5.033043057028159240e-01,0.000000000000000000e+00,2.041952140957234429e-01
1.616326530612242740e+00,-1.014002035755395270e-01,5.981281351582244943e-01,5.518854489913850303e-01,2.494768545553529074e-03,0.000000000000000000e+00,1.326636774796738638e-01
1.717346938775507814e+00,-4.480993198071746286e-02,5.754076015282713064e-01,5.601206935350364624e-01,-4.438870668614653958e-01,0.000000000000000000e+00,6.791494326665165060e-02
1.818367346938773110e+00,7.083769453186254325e-03,5.122891715520996314e-01,4.632838442945423907e-01,-8.036569622966530657e-01,0.000000000000000000e+00,1.007130913447162879e-02
1.919387755102038184e+00,4.622553752578698744e-02,4.165604068558072526e-01,3.170627426267504934e-01,-1.105686932540420386e+00,0.000000000000000000e+00,-5.693948022346925070e-02
2.020408163265303259e+00,7.192882130190839107e-02,2.897396626543571885e-01,2.108623639747740641e-01,-1.445431764151903220e+00,0.000000000000000000e+00,-1.633176958960630976e-01
2.121428571428568777e+00,9.317317474417366463e-02,1.214982091005548936e-01,2.430200270382562311e-01,-1.956788844832929586e+00,0.000000000000000000e+00,-3.423746251873689972e-01
2.222448979591833851e+00,1.271604276869630346e-01,-1.106301238569324941e-01,4.690061312446014985e-01,-2.730991610389664093e+00,0.000000000000000000e+00,-6.105549170677617710e-01
2.323469387755098925e+00,1.913316037521272661e-01,-4.305858253466293140e-01,8.246530914122954803e-01,-3.681060626628534838e+00,0.000000000000000000e+00,-9.340108657502537159e-01
2.424489795918363999e+00,2.889323569032307137e-01,-8.408992094863174671e-01,1.095607973811598690e+00,-4.471025367577330378e+00,0.000000000000000000e+00,-1.213836477706107253e+00
2.525510204081629073e+00,4.002147814608346676e-01,-1.307544961319523136e+00,1.074457248257681297e+00,-4.769095537418277964e+00,0.000000000000000000e+00,-1.344036565722196874e+00
2.626530612244894591e+00,4.935063286579812747e-01,-1.777490393561052873e+00,7.466069545453478673e-01,-4.552847308822159711e+00,0.000000000000000000e+00,-1.302310479806267907e+00
2.727551020408159665e+00,5.432332323184435596e-01,-2.206624598694616690e+00,2.249271659345230545e-01,-3.982407233826994908e+00,0.000000000000000000e+00,-1.122077857003718204e+00
