time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.386936635367812254e-01
1.000062958156246748e-03,-1.796934031062188731e-06,3.329266018714962949e-06,-3.799113455772344140e-03,7.038799008064240345e-03,0.000000000000000000e+00,1.844168216354163947e-01
2.000125916312493497e-03,-7.775631572419914364e-06,1.440629140179555883e-05,-8.144782837914437204e-03,1.509025588814186074e-02,0.000000000000000000e+00,1.818691317278231523e-01
3.000188874468740462e-03,-1.804795754331744897e-05,3.343839346238784802e-05,-1.239830440643791519e-02,2.297107019021492336e-02,0.000000000000000000e+00,1.802737412980637000e-01
4.000251832624986993e-03,-3.257194076595736087e-05,6.034791476095900783e-05,-1.665072310133607070e-02,3.084996627353310192e-02,0.000000000000000000e+00,1.807349998284159820e-01
5.000314790781233525e-03,-5.135462753774312045e-05,9.514805672759293735e-05,-2.091626436414825707e-02,3.875334299555956152e-02,0.000000000000000000e+00,1.814237464209922934e-01
6.000377748937480923e-03,-7.441130722407878102e-05,1.378673360017174565e-04,-2.519902847614756761e-02,4.668884012148603879e-02,0.000000000000000000e+00,1.822488206935157784e-01
7.000440707093727455e-03,-1.017604503672625007e-04,1.885402062209921132e-04,-2.950136852393589471e-02,5.466086051005593360e-02,0.000000000000000000e+00,1.831533926489069819e-01
8.000503665249973986e-03,-1.334223345099274998e-04,2.472045122285297745e-04,-3.382460851161055160e-02,6.267190060366169269e-02,0.000000000000000000e+00,1.841052137160106572e-01
9.000566623406220518e-03,-1.694182535789160132e-04,3.139000254768184494e-04,-3.816949634118220469e-02,7.072338969097972938e-02,0.000000000000000000e+00,1.850868864742782338e-01
1.000062958156246705e-02,-2.097700813779051934e-04,3.886676355088134719e-04,-4.253645808297223246e-02,7.881616100804374192e-02,0.000000000000000000e+00,1.860879768644443655e-01
1.100069253971871358e-02,-2.545000142382261642e-04,4.715488733758956582e-04,-4.692571665303399420e-02,8.695067161907088504e-02,0.000000000000000000e+00,1.871014066127673903e-01
1.200075549787496185e-02,-3.036303884240175509e-04,5.625855735580520675e-04,-5.133733006093818552e-02,9.512707328095981740e-02,0.000000000000000000e+00,1.881201143199659476e-01
1.300081845603120838e-02,-3.571835225783511012e-04,6.618195822790714361e-04,-5.577121866636632758e-02,1.033452629423192437e-01,0.000000000000000000e+00,1.891400250923310766e-01
1.400088141418745491e-02,-4.151816287470790133e-04,7.692925928767968980e-04,-6.022726129982262228e-02,1.116050608275850481e-01,0.000000000000000000e+00,1.901614194962616411e-01
1.500094437234370144e-02,-4.776468031928297105e-04,8.850461290011251130e-04,-6.470534327656843332e-02,1.199062993920339132e-01,0.000000000000000000e+00,1.911845828854827067e-01
1.600100733049994797e-02,-5.446010309310494145e-04,1.009121553233532529e-03,-6.920535059400088895e-02,1.282488125693672654e-01,0.000000000000000000e+00,1.922092382122501109e-01
1.700107028865619624e-02,-6.160661712990682121e-04,1.141560040564239265e-03,-7.372714356585055584e-02,1.366323869213176001e-01,0.000000000000000000e+00,1.932334599052462631e-01
1.800113324681244104e-02,-6.920639205671271161e-04,1.282402509332513426e-03,-7.827054381153808471e-02,1.450567375303949691e-01,0.000000000000000000e+00,1.942564585961951695e-01
1.900119620496868930e-02,-7.726158037983602705e-04,1.431689606355021193e-03,-8.283539387134480902e-02,1.535216184481197621e-01,0.000000000000000000e+00,1.952801255878139075e-01
2.000125916312493410e-02,-8.577431951117137901e-04,1.589461744674706360e-03,-8.742153874935905400e-02,1.620267884969915362e-01,0.000000000000000000e+00,1.963029654037109772e-01
