time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.803203068800820763e-01
1.000000000000000021e-02,-1.734723475976807094e-18,0.000000000000000000e+00,-4.249660050908228570e-02,7.873533144417746432e-02,0.000000000000000000e+00,1.910250163942192603e-01
2.000000000000000042e-02,-4.249660050906749892e-04,7.873533144417745608e-04,-8.751599270760695992e-02,1.621447078618261373e-01,0.000000000000000000e+00,2.010819309620555662e-01
2.999999999999999889e-02,-1.300125932202168388e-03,2.408800393048859522e-03,-1.347605789752276129e-01,2.497196595638638827e-01,0.000000000000000000e+00,2.104445569639245839e-01
4.000000000000000083e-02,-2.647731721861770835e-03,4.905996988792603493e-03,-1.839130828717467636e-01,3.409177874012203069e-01,0.000000000000000000e+00,2.190913892097827442e-01
5.000000000000000278e-02,-4.486862550637750122e-03,8.315174862710879994e-03,-2.346433000490643350e-01,4.351749097573901492e-01,0.000000000000000000e+00,2.269840159689257564e-01
5.999999999999999778e-02,-6.833295551022955210e-03,1.266692396028478405e-02,-2.866050149565851912e-01,5.318989645265252975e-01,0.000000000000000000e+00,2.340830551449455676e-01
7.000000000000000666e-02,-9.699345700649520882e-03,1.798591360555002600e-02,-3.394366995667102427e-01,6.304709024912613646e-01,0.000000000000000000e+00,2.403517340051609663e-01
8.000000000000000167e-02,-1.309371269623295364e-02,2.429062263070237010e-02,-3.927631060699023902e-01,7.302472212206738700e-01,0.000000000000000000e+00,2.457751864715955192e-01
8.999999999999999667e-02,-1.702134375693197324e-02,3.159309484266937390e-02,-4.462014712692340401e-01,8.305710315006655797e-01,0.000000000000000000e+00,2.503361063565578415e-01
1.000000000000000056e-01,-2.148335846962431267e-02,3.989880515767602748e-02,-4.993620596740135364e-01,9.307726284078604584e-01,0.000000000000000000e+00,2.540094206493077600e-01
1.100000000000000006e-01,-2.647697906649571636e-02,4.920653144175463067e-02,-5.518475262678568249e-01,1.030167878926974145e+00,0.000000000000000000e+00,2.567688690950288843e-01
1.199999999999999956e-01,-3.199545432917428461e-02,5.950821023102436519e-02,-6.032539228403394072e-01,1.128059661944337044e+00,0.000000000000000000e+00,2.585998572087556679e-01
1.300000000000000044e-01,-3.802799355757768840e-02,7.078880685046773369e-02,-6.531748456989954210e-01,1.223745137773100344e+00,0.000000000000000000e+00,2.594942327263020654e-01
1.400000000000000133e-01,-4.455974201456763817e-02,8.302625822819875712e-02,-7.012044763955701532e-01,1.316520979115389123e+00,0.000000000000000000e+00,2.594459018662674810e-01
1.499999999999999944e-01,-5.157178677852334442e-02,9.619146801935266056e-02,-7.469397106713140388e-01,1.405686930250629851e+00,0.000000000000000000e+00,2.584465163500030416e-01
1.600000000000000033e-01,-5.904118388523649230e-02,1.102483373218589718e-01,-7.899813892115633562e-01,1.490547722491226468e+00,0.000000000000000000e+00,2.565007035340716723e-01
1.700000000000000122e-01,-6.694099777735214307e-02,1.251538145467712415e-01,-8.299392213320789802e-01,1.570421851897643828e+00,0.000000000000000000e+00,2.536085470670852993e-01
1.799999999999999933e-01,-7.524038999067293731e-02,1.408580330657476787e-01,-8.664326791246619308e-01,1.644642910104536115e+00,0.000000000000000000e+00,2.497581212719354737e-01
1.900000000000000022e-01,-8.390471678191956106e-02,1.573044621667930576e-01,-8.990902051904156034e-01,1.712557810268977798e+00,0.000000000000000000e+00,2.449540191624043628e-01
2.000000000000000111e-01,-9.289561883382373153e-02,1.744300402694828611e-01,-9.275551655685692065e-01,1.773537522517455445e+00,0.000000000000000000e+00,2.392401468486462235e-01
2.099999999999999922e-01,-1.021711704895094386e-01,1.921654154946574322e-01,-9.514971350862060362e-01,1.826997690221593418e+00,0.000000000000000000e+00,2.327168486791050539e-01
2.200000000000000011e-01,-1.116861418403714973e-01,2.104353923968733941e-01,-9.706270746353324874e-01,1.872426451772889910e+00,0.000000000000000000e+00,2.251459114609085377e-01
2.300000000000000100e-01,-1.213924125867248266e-01,2.291596569146022999e-01,-9.846199065265255346e-01,1.909240751044195994e+00,0.000000000000000000e+00,2.166188593752870761e-01
2.399999999999999911e-01,-1.312386116519900781e-01,2.482520644250442998e-01,-9.931935183654722055e-01,1.936932416258885903e+00,0.000000000000000000e+00,2.076737786878039838e-01
2.500000000000000000e-01,-1.411705468356448112e-01,2.676213885876331799e-01,-9.962143571208509352e-01,1.955263348273363899e+00,0.000000000000000000e+00,1.977127993023085617e-01
2.600000000000000089e-01,-1.511326904068533428e-01,2.871740220703669078e-01,-9.934333759175544287e-01,1.963776141002471221e+00,0.000000000000000000e+00,1.869375938590912556e-01
2.700000000000000178e-01,-1.610670241660288882e-01,3.068117834803915644e-01,-9.846734698639439953e-01,1.962140984529723964e+00,0.000000000000000000e+00,1.755361534665534629e-01
2.800000000000000266e-01,-1.709137588646683081e-01,3.264331933256888196e-01,-9.698266315393312409e-01,1.950149948151954193e+00,0.000000000000000000e+00,1.634112650482116014e-01
2.899999999999999800e-01,-1.806120251800616416e-01,3.459346928072083438e-01,-9.487877752125191133e-01,1.927594043985590755e+00,0.000000000000000000e+00,1.506763562910108656e-01
2.999999999999999889e-01,-1.900999029321868150e-01,3.652106332470643202e-01,-9.215032937269164171e-01,1.894352748426491262e+00,0.000000000000000000e+00,1.373387505572861711e-01
3.099999999999999978e-01,-1.993149358694560058e-01,3.841541607313292417e-01,-8.879458136696755099e-01,1.850346837051412008e+00,0.000000000000000000e+00,1.234593009920592482e-01
