time,cart_pos,pend_pos,cart_vel,pend_vel,force
0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.437953402989981505e-02,-1.911810531255677586e-03,3.149657096213200003e+00,-1.017998560599225749e-01,4.257988721925089481e-01,-3.574256040225309849e+00
6.875906805979961622e-02,-8.193262713427462707e-03,3.175718941473168577e+00,-2.496976588860406465e-01,1.016021348310312877e+00,-5.762043428793806044e+00
1.031386020896994382e-01,-2.009764043528851352e-02,3.223541547967569088e+00,-4.259122350233053300e-01,1.663539659034638074e+00,-7.598665896557609045e+00
1.375181361195992602e-01,-3.753242681900775118e-02,3.290028924575413072e+00,-5.736026237424169949e-01,2.095972282479581228e+00,-7.621104162404306770e+00
1.718976701494990822e-01,-5.949916185246935385e-02,3.367287611576064155e+00,-6.919879119754585028e-01,2.291292749866303158e+00,-7.477730652003130807e+00
2.062772041793989042e-01,-8.508414559766097618e-02,3.447360101187895154e+00,-7.863283043296225294e-01,2.266723681912000021e+00,-7.359546008444784349e+00
2.406567382092987262e-01,-1.135589954311594235e-01,3.523124285415009105e+00,-8.620947902205324809e-01,2.052774667414175358e+00,-7.286727090033152443e+00
2.750362722391985204e-01,-1.441746797584631534e-01,3.587874002680346397e+00,-9.135558415547269107e-01,1.646267829198159172e+00,-6.881776986537531116e+00
3.094158062690983146e-01,-1.759618193968751354e-01,3.634924576318875999e+00,-9.335782755129062860e-01,1.050195512025476452e+00,-6.059312003400023627e+00
3.437953402989981089e-01,-2.077065369913457527e-01,3.657865381593768728e+00,-9.148896607984129403e-01,2.749376631136865590e-01,-4.782726032955718409e+00
3.781748743288979031e-01,-2.382492347510518360e-01,3.651831449259632212e+00,-8.663476115594528348e-01,-6.080717630584202560e-01,-3.606186635654927031e+00
4.125544083587976973e-01,-2.661937417054645594e-01,3.612370349079343956e+00,-7.680320712143139383e-01,-1.636159846927096373e+00,-1.564140944524671895e+00
4.469339423886974916e-01,-2.896085891939192414e-01,3.534221551900627922e+00,-6.081461598642378119e-01,-2.819930626988832678e+00,1.151012615162323671e+00
4.813134764185972858e-01,-3.063810416858664953e-01,3.412547321674595402e+00,-3.873570403350102276e-01,-4.122109954690361455e+00,4.172346451171266679e+00
5.156930104484971356e-01,-3.143506795266988729e-01,3.243643630279716028e+00,-1.033736248861625295e-01,-5.503161259796428340e+00,7.664244017950601950e+00
5.500725444783969298e-01,-3.134667821248889319e-01,3.034791660815014502e+00,1.284430371506475599e-01,-6.397956355021745090e+00,7.637244127114043657e+00
5.844520785082967240e-01,-3.055206529049581121e-01,2.804327848385951505e+00,3.092362621118386889e-01,-6.733416228235912016e+00,7.562354633779292179e+00
6.188316125381965183e-01,-2.921752016397313190e-01,2.571908737651688703e+00,4.472847780213088931e-01,-6.530140707542166467e+00,7.486938835133223336e+00
6.532111465680963125e-01,-2.746861140001836676e-01,2.354825003999853283e+00,5.568108387379867574e-01,-5.894802773528708961e+00,7.461815947055907117e+00
6.875906805979961067e-01,-2.537897001787300377e-01,2.165818911786479450e+00,6.511059972223451897e-01,-4.957208859813251323e+00,7.491920525929708141e+00
7.219702146278959010e-01,-2.298358945150907606e-01,2.013247696083278360e+00,7.379415757861246261e-01,-3.825815166900673692e+00,7.544523566177488760e+00
7.563497486577956952e-01,-2.032556780311443045e-01,1.902645991567646133e+00,8.062731209863647219e-01,-2.559344678822057517e+00,7.083598530256730363e+00
7.907292826876954894e-01,-1.746672725749356392e-01,1.837261237519720813e+00,8.556229655283605906e-01,-1.225009850307649195e+00,6.540232751093615349e+00
8.251088167175952837e-01,-1.446343361004052419e-01,1.818376939439838802e+00,8.900027878670736525e-01,1.282519802135511644e-01,6.139978814077196922e+00
8.594883507474950779e-01,-1.136100975830047072e-01,1.846020592414184591e+00,9.124845934351157872e-01,1.470917581097587412e+00,5.889933060664102271e+00
8.938678847773948721e-01,-8.174843876218886030e-02,1.919172001114458626e+00,9.368870217380480536e-01,2.766549594559523761e+00,6.205912944102138340e+00
9.282474188072946664e-01,-4.953688410939281750e-02,2.036534681276566783e+00,9.338221219012043939e-01,4.031509907608989529e+00,5.515702682676252522e+00
9.626269528371944606e-01,-1.939738366459274610e-02,2.199639886039729042e+00,8.239709231613134843e-01,5.418481888397448820e+00,1.801012351175748538e+00
9.970064868670942548e-01,5.081183438660395735e-03,2.413816067323966585e+00,6.124328084574782727e-01,6.979861187928563915e+00,-2.204109212693246445e+00
1.031386020896994049e+00,2.019592920005522374e-02,2.686907879059240223e+00,2.904378470430705739e-01,8.784840452241802211e+00,-7.079316612704857015e+00
1.065765554926893843e+00,2.466395388318525991e-02,3.018246436334534266e+00,1.231061395794623295e-03,1.022582669766588381e+01,-7.863543354657179130e+00
1.100145088956793638e+00,2.034278960772390940e-02,3.388370911673328489e+00,-2.129927423248626217e-01,1.088773329097742781e+01,-7.859891901175767970e+00
1.134524622986693432e+00,1.019191064908800404e-02,3.765396060456355443e+00,-3.433648273676770946e-01,1.061952524657004027e+01,-7.447071773648881177e+00
1.168904157016593226e+00,-3.350476230399805806e-03,4.119340689729291682e+00,-4.274181267184856692e-01,9.679399242832291250e+00,-7.216063089951334497e+00
1.203283691046493020e+00,-1.895126074879451353e-02,4.431406668853210995e+00,-4.800078126189399330e-01,8.336170510115451293e+00,-6.345049547363471376e+00
1.237663225076392814e+00,-3.509742874066992813e-02,4.691878620368328257e+00,-4.712655303401110940e-01,6.805131076719570515e+00,-3.652819994708440543e+00
1.272042759106292609e+00,-5.036252247936029436e-02,4.899501644628899477e+00,-4.307439475340906210e-01,5.312460126646512570e+00,-1.708436942816474513e+00
