time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.320404186391204993e-01,0.000000000000000000e+00
1.017428816825515642e-01,-9.424215872484945078e-03,1.630035227249343119e-02,-2.288261742076580785e-01,3.936090565283590359e-01,-4.907280826424951226e-01,0.000000000000000000e+00
2.034857633651031283e-01,-5.243957353949586786e-02,8.885748584719085907e-02,-6.248934306798128446e-01,1.034115798923102014e+00,-7.240737836203504640e-01,0.000000000000000000e+00
3.052286450476546786e-01,-1.335355824025389881e-01,2.177132270609846987e-01,-9.322863595844269602e-01,1.412315864876132032e+00,-7.529750026285971787e-01,0.000000000000000000e+00
4.069715267302062567e-01,-2.313374566628607076e-01,3.531483726605866291e-01,-9.267865302262898730e-01,1.124355951832002543e+00,-6.050323921470943667e-01,0.000000000000000000e+00
5.087144084127578347e-01,-3.089056557275047799e-01,4.228062714726992799e-01,-5.364925038026870929e-01,1.480091373100347329e-01,-3.522080448401704311e-01,0.000000000000000000e+00
6.104572900953093573e-01,-3.298993961403211550e-01,3.693716663421124369e-01,1.629099263820400212e-01,-1.233976017780130663e+00,-7.116185220875836936e-02,0.000000000000000000e+00
7.122001717778609908e-01,-2.717477121038253118e-01,1.729627491989881027e-01,9.755356659674270237e-01,-2.569428534931003760e+00,1.598530338478854618e-01,0.000000000000000000e+00
8.139430534604125134e-01,-1.384127569835185145e-01,-1.286913632080380621e-01,1.582026427211834729e+00,-3.175993688723025343e+00,2.740156681355388479e-01,0.000000000000000000e+00
9.156859351429640359e-01,3.384763399211616897e-02,-4.297576668612527739e-01,1.719376514135341205e+00,-2.533560084253737354e+00,2.802803627430789368e-01,0.000000000000000000e+00
1.017428816825515669e+00,1.957615494884409335e-01,-6.107190187748262611e-01,1.395749156233174526e+00,-9.105529168793775607e-01,2.313469386722783461e-01,0.000000000000000000e+00
1.119171698508067303e+00,3.057787874369856107e-01,-6.015157001274480386e-01,7.163282271050041006e-01,1.116402946575768551e+00,1.466485335336958629e-01,0.000000000000000000e+00
