time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.506507890358655122e-02,0.000000000000000000e+00
1.008504002642835601e-01,-8.910604492223833661e-03,1.542693172297720378e-02,-2.241806106107936958e-01,3.861011615153757126e-01,-4.426491319131493629e-01,0.000000000000000000e+00
2.017008005285671202e-01,-5.028781245140469952e-02,8.534743781569742449e-02,-6.130188422969827799e-01,1.017047962396256278e+00,-6.693557019287941223e-01,0.000000000000000000e+00
3.025512007928506941e-01,-1.288148760504440327e-01,2.106625349406241188e-01,-9.251413595861485151e-01,1.411547625416742724e+00,-6.876593077168000612e-01,0.000000000000000000e+00
4.034016010571342403e-01,-2.231427213165241841e-01,3.424220509198901974e-01,-9.310892939165624771e-01,1.155035409033121185e+00,-7.512290081233616856e-01,0.000000000000000000e+00
5.042520013214177865e-01,-3.028913008246431615e-01,4.194960282497092741e-01,-5.806015618863810124e-01,2.500500731050050440e-01,-3.929238838142222190e-01,0.000000000000000000e+00
6.051024015857013882e-01,-3.299497679586713694e-01,3.800860253638377317e-01,8.586519187013076648e-02,-1.089012957578096685e+00,-1.220599095231321013e-01,0.000000000000000000e+00
7.059528018499848789e-01,-2.810618619639677074e-01,2.010510318052996515e-01,8.933413851886546908e-01,-2.448602395551049860e+00,5.606234299569080870e-02,0.000000000000000000e+00
8.068032021142684806e-01,-1.586258611824969134e-01,-8.552746637687380638e-02,1.525835504221185523e+00,-3.162902633296361010e+00,2.774846320734636884e-01,0.000000000000000000e+00
9.076536023785520824e-01,6.708523695024218823e-03,-3.867619960511894939e-01,1.713581697595403464e+00,-2.680354193149052655e+00,3.956493325914365311e-01,0.000000000000000000e+00
1.008504002642835573e+00,1.712514438892744906e-01,-5.912607946276144943e-01,1.475405983318777148e+00,-1.227802697348059802e+00,2.264188692657849722e-01,0.000000000000000000e+00
1.109354402907119175e+00,2.910855133684180918e-01,-6.186355920186115132e-01,8.597655440896200263e-01,7.330747096056862144e-01,1.668155081977281684e-01,0.000000000000000000e+00
1.210204803171402776e+00,3.353393956636836482e-01,-4.451689539804438156e-01,-3.780488267345220865e-03,2.701643134023635096e+00,1.221455502922989822e-01,0.000000000000000000e+00
1.311055203435686378e+00,2.947234969334716626e-01,-1.049091562818455781e-01,-7.913822782768865638e-01,3.963083715415231634e+00,4.731875503913536563e-02,0.000000000000000000e+00
