time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.506508176268999133e-02,0.000000000000000000e+00
1.008504002642835601e-01,-8.910604502305788030e-03,1.542693174016082462e-02,-2.241806106193916515e-01,3.861011615194319124e-01,-4.426491315092439538e-01,0.000000000000000000e+00
2.017008005285671202e-01,-5.028781245332820254e-02,8.534743781691435383e-02,-6.130188423666510511e-01,1.017047962496713032e+00,-6.693557073695434179e-01,0.000000000000000000e+00
3.025512007928506941e-01,-1.288148760216658584e-01,2.106625348872226688e-01,-9.251413589690952177e-01,1.411547624365844911e+00,-6.876593047995716024e-01,0.000000000000000000e+00
4.034016010571342403e-01,-2.231427212534319304e-01,3.424220508133731244e-01,-9.310892935483831012e-01,1.155035408513713557e+00,-7.512290111289302574e-01,0.000000000000000000e+00
5.042520013214177865e-01,-3.028913007113810951e-01,4.194960280754891913e-01,-5.806015612460906361e-01,2.500500722655632502e-01,-3.929238844817811716e-01,0.000000000000000000e+00
6.051024015857013882e-01,-3.299497677807329832e-01,3.800860251115414368e-01,8.586519255300101294e-02,-1.089012958354408367e+00,-1.220599088271052124e-01,0.000000000000000000e+00
7.059528018499848789e-01,-2.810618617149921450e-01,2.010510314769418938e-01,8.933413859039432969e-01,-2.448602396252675728e+00,5.606234378191402024e-02,0.000000000000000000e+00
8.068032021142684806e-01,-1.586258608655133628e-01,-8.552746675987868419e-02,1.525835504803054299e+00,-3.162902633562664878e+00,2.774846330520334137e-01,0.000000000000000000e+00
9.076536023785520824e-01,6.708524056014060141e-03,-3.867619964249560671e-01,1.713581697857887720e+00,-2.680354192659366586e+00,3.956493314627546609e-01,0.000000000000000000e+00
1.008504002642835573e+00,1.712514442229656209e-01,-5.912607948638698430e-01,1.475405983119826958e+00,-1.227802696170199104e+00,2.264188733611259829e-01,0.000000000000000000e+00
1.109354402907119175e+00,2.910855137245343949e-01,-6.186355922191427714e-01,8.597655443150435950e-01,7.330747097920522481e-01,1.668155097404904197e-01,0.000000000000000000e+00
1.210204803171402776e+00,3.353393960275433128e-01,-4.451689541605490796e-01,-3.780488295904479989e-03,2.701643134161412441e+00,1.221455511550280093e-01,0.000000000000000000e+00
1.311055203435686378e+00,2.947234972873084557e-01,-1.049091564599369669e-01,-7.913822784555036849e-01,3.963083715342968993e+00,4.731875587658201932e-02,0.000000000000000000e+00
1.411905603699969758e+00,1.976089216141571070e-01,2.875611563114996994e-01,-1.080218796667452574e+00,3.644501146711915940e+00,3.176756004643449538e-02,0.000000000000000000e+00
1.512756003964253360e+00,8.941593759901690641e-02,5.863048298597955954e-01,-9.780834759726978467e-01,2.088966802869390182e+00,3.307068798392049924e-01,0.000000000000000000e+00
1.613606404228536961e+00,9.531975968563921597e-03,6.870228451326594321e-01,-5.849042454356931930e-01,-1.293443918306284024e-01,3.187221775241322885e-01,0.000000000000000000e+00
