time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.138643428500928673e-02,-1.997232569239621586e-02,-9.279069083399623663e-01,-2.500000000000000000e+00
8.277286857001857345e-02,-7.333054061741348106e-02,-1.603264017610559033e+00,-2.110147822673136719e+00
1.241593028550278532e-01,-1.515264823685332218e-01,-2.119949586770466521e+00,-1.995698612131821648e+00
1.655457371400371192e-01,-2.484426483893018012e-01,-2.502571280023110134e+00,-1.969862702815268429e+00
2.069321714250463851e-01,-3.586235832764019804e-01,-2.759023592646224987e+00,-1.974227900462505181e+00
2.483186057100556510e-01,-4.477203250563988601e-01,-1.539764380162238044e+00,1.665753490671636916e+00
2.897050399950649169e-01,-4.839903669671319353e-01,-2.353507337707909097e-01,1.990310692868608067e+00
3.310914742800741828e-01,-4.673821852832708568e-01,9.930854439007312795e-01,2.027504054910043596e+00
3.724779085650834487e-01,-4.020573980973808359e-01,2.099779542284288425e+00,2.046227798647260787e+00
4.138643428500927146e-01,-2.939524117286939076e-01,3.043874898514128180e+00,2.045127784190389431e+00
4.552507771351019805e-01,-1.505004638419555618e-01,3.794114446857627332e+00,2.034699879193372141e+00
4.966372114201112464e-01,1.975356557986727990e-02,4.329585722816325699e+00,2.020661284600768326e+00
5.380236457051205123e-01,2.076655798955714671e-01,4.644308241656847080e+00,2.010202400091543495e+00
5.794100799901298338e-01,4.041839614464720620e-01,4.750109111139162898e+00,2.010129296021634815e+00
6.207965142751391552e-01,6.011030174495484157e-01,4.675761768989787903e+00,2.025177936774034126e+00
6.621829485601484766e-01,7.917004279775078368e-01,4.462119506009248227e+00,2.057039665038083331e+00
7.035693828451577980e-01,9.711099266138017994e-01,4.154953715212434062e+00,2.104405506543620685e+00
7.449558171301671194e-01,1.136379805509299290e+00,3.798036573788627468e+00,2.163866604910534175e+00
7.863422514151764409e-01,1.286272776352050062e+00,3.428361386073146555e+00,2.231161768908538789e+00
8.277286857001857623e-01,1.420919013624953209e+00,3.074062326670226053e+00,2.302256556535899445e+00
8.691151199851950837e-01,1.541432248019640738e+00,2.754507994700963192e+00,2.373916872937585243e+00
9.105015542702044051e-01,1.649541098209148071e+00,2.480622936642614018e+00,2.441054602680350794e+00
9.518879885552137265e-01,1.747016829619948197e+00,2.244839943899740842e+00,2.467224546229572990e+00
9.932744228402230480e-01,1.835010200929248825e+00,2.025819331648286425e+00,2.422152063659599897e+00
1.034660857125232258e+00,1.914210315623458669e+00,1.822066602751148956e+00,2.361884077649636815e+00
1.076047291410241469e+00,1.985339352614228448e+00,1.636734570912700137e+00,2.304193189328308744e+00
1.117433725695250679e+00,2.049215848851718036e+00,1.471648414002770355e+00,2.250302236288457713e+00
1.158820159980259890e+00,2.106703029582562170e+00,1.327433602926853862e+00,2.200282601604308663e+00
1.200206594265269100e+00,2.158668592542722919e+00,1.203915477214488439e+00,2.154016037556408580e+00
1.241593028550278310e+00,2.205959310775554627e+00,1.100437251020694118e+00,2.111267986696272470e+00
1.282979462835287521e+00,2.249386997723255011e+00,1.016098590993623985e+00,2.071729096484860921e+00
1.324365897120296731e+00,2.289722820571513218e+00,9.499298630643794317e-01,2.035047204845606750e+00
1.365752331405305942e+00,2.327697613948103150e+00,9.010170978958660370e-01,2.000850233571111580e+00
1.407138765690315152e+00,2.364006456632712805e+00,8.685911798677099505e-01,1.968761649418046655e+00
1.448525199975324362e+00,2.399316296787131542e+00,8.520927238411313276e-01,1.938410480631880040e+00
1.489911634260333573e+00,2.434275842864773498e+00,8.512220847424799564e-01,1.909437692795725061e+00
1.531298068545342783e+00,2.469527288514294483e+00,8.659822294305933310e-01,1.881500444907108438e+00
1.572684502830351994e+00,2.505719727775442163e+00,8.967209077788073079e-01,1.854275527117596800e+00
1.614070937115361204e+00,2.543524361004805723e+00,9.441777189825518724e-01,1.827463200387047015e+00
1.655457371400370414e+00,2.583651811606714865e+00,1.009541277728944753e+00,1.800792802446872454e+00
1.696843805685379625e+00,2.626872089017693312e+00,1.094521793254119357e+00,1.774032115687163458e+00
1.738230239970388835e+00,2.674037973606451235e+00,1.201445340255047123e+00,1.747004600464316493e+00
1.779616674255398046e+00,2.726106677745463447e+00,1.333088046129481175e+00,1.718838675292053697e+00
1.821003108540407256e+00,2.784173836210667385e+00,1.493398430742369776e+00,1.690287228802038744e+00
1.862389542825416466e+00,2.847643238790696696e+00,1.600229094221236714e+00,1.426694464901067994e+00
1.903775977110425677e+00,2.918297690035757785e+00,1.838230290142718104e+00,1.635919442469249363e+00
1.945162411395434887e+00,2.994977098332789911e+00,1.903999040062826165e+00,1.025177213071315929e+00
1.986548845680444098e+00,3.069704200371972114e+00,1.754464101890100158e+00,2.551235249679640882e-01
2.027935279965453308e+00,3.123653105952021392e+00,9.242320268657300275e-01,-1.796254266478602313e+00
2.069321714250462740e+00,3.141592653589793116e+00,0.000000000000000000e+00,-2.310369961990344390e+00
