time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.862134352887055866e-01
5.000000000000000278e-02,0.000000000000000000e+00,-1.779790752061624903e-01,-7.487659858306605631e-01
1.000000000000000056e-01,-8.898953760308076291e-03,-4.292635439446491619e-01,-9.192503362170136860e-01
1.500000000000000222e-01,-3.036213095754061383e-02,-7.039744243600161155e-01,-1.067991051557577009e+00
2.000000000000000111e-01,-6.556085217540114085e-02,-9.815739691812969125e-01,-1.187660480032693533e+00
2.500000000000000000e-01,-1.146395506344659865e-01,-1.240605633981906708e+00,-1.268936152857767174e+00
2.999999999999999889e-01,-1.766698323335613441e-01,-1.458933720201017525e+00,-1.309046279832570159e+00
3.499999999999999778e-01,-2.496165183436122037e-01,-1.617181330516399340e+00,-1.300683993234001523e+00
3.999999999999999667e-01,-3.304755848694321818e-01,-1.697740877382048374e+00,-1.241164072787453110e+00
4.499999999999999556e-01,-4.153626287385346338e-01,-1.687126606504941950e+00,-1.130625127144386122e+00
4.999999999999999445e-01,-4.997189590637817203e-01,-1.577148075478040035e+00,-9.691815828243345310e-01
5.499999999999999334e-01,-5.785763628376837664e-01,-1.364472933584803149e+00,-7.590284909094067167e-01
5.999999999999999778e-01,-6.468000095169238461e-01,-1.050531073628934164e+00,-5.033084850498159568e-01
6.500000000000000222e-01,-6.993265631983704989e-01,-6.406529332385795250e-01,-2.061387254485491372e-01
7.000000000000000666e-01,-7.313592098602995639e-01,-1.431939681719934798e-01,1.275544763199782661e-01
7.500000000000001110e-01,-7.385189082688993212e-01,4.311177279798750206e-01,4.912616316123163407e-01
8.000000000000001554e-01,-7.169630218699055701e-01,1.069035454768115789e+00,8.763960514789724821e-01
8.500000000000001998e-01,-6.635112491314998362e-01,1.753930632287100222e+00,1.271553970166549474e+00
9.000000000000002442e-01,-5.758147175171446364e-01,2.464301862391055309e+00,1.660919015018295530e+00
9.500000000000002887e-01,-4.525996243975918265e-01,3.171769254809180261e+00,2.025289246482928629e+00
1.000000000000000222e+00,-2.940111616571328690e-01,3.840223000534340514e+00,2.343450292867171658e+00
1.050000000000000266e+00,-1.020000116304158599e-01,4.427018499830506215e+00,2.594784120927091653e+00
1.100000000000000311e+00,1.193509133611095341e-01,4.887304527491118655e+00,2.763827755979104239e+00
1.150000000000000355e+00,3.637161397356654668e-01,5.182064056980294708e+00,2.788976545780115224e+00
1.200000000000000400e+00,6.228193425846803022e-01,5.267790149921962595e+00,2.788976545780115224e+00
1.250000000000000444e+00,8.862088500807784319e-01,5.169000163280633942e+00,2.756282908286989741e+00
1.300000000000000488e+00,1.144658858244810062e+00,4.924988900555566929e+00,2.618352796791019621e+00
1.350000000000000533e+00,1.390908303272588409e+00,4.558131902946971792e+00,2.442789230740259665e+00
1.400000000000000577e+00,1.618814898419937087e+00,4.118121887684110582e+00,2.246304012183754306e+00
1.450000000000000622e+00,1.824720992804142572e+00,3.651136091562040775e+00,2.042521122256047761e+00
1.500000000000000666e+00,2.007277797382244433e+00,3.192956696709227327e+00,1.841494973161512672e+00
1.550000000000000711e+00,2.166925632217705733e+00,2.766931841245805490e+00,1.649592929679446707e+00
1.600000000000000755e+00,2.305272224279996340e+00,2.385275596839497858e+00,1.470432740419622464e+00
1.650000000000000799e+00,2.424536004121971899e+00,2.052002739634070760e+00,1.305732224974618827e+00
1.700000000000000844e+00,2.527136141103675016e+00,1.765963642903073616e+00,1.155868944507474350e+00
1.750000000000000888e+00,2.615434323248828630e+00,1.523214429496542399e+00,1.020387803329058762e+00
1.800000000000000933e+00,2.691595044723655850e+00,1.318627715444564696e+00,8.982327532247942337e-01
1.850000000000000977e+00,2.757526430495884195e+00,1.146818043365336548e+00,7.885309918143162955e-01
1.900000000000001021e+00,2.814867332664150901e+00,1.002820862561179416e+00,6.889548730887591343e-01
1.950000000000001066e+00,2.865008375792210238e+00,8.818080666909055010e-01,5.993294832941249428e-01
2.000000000000000888e+00,2.909098779126755296e+00,7.799951099587484338e-01,5.177153328283563560e-01
2.050000000000000711e+00,2.948098534624692846e+00,6.938852618316710963e-01,4.407547386181004945e-01
2.100000000000000533e+00,2.982792797716276034e+00,6.197004158296006704e-01,3.693048172426307008e-01
2.150000000000000355e+00,3.013777818507756390e+00,5.549101069983478629e-01,2.984022185174193265e-01
2.200000000000000178e+00,3.041523323857673766e+00,4.958502324130474870e-01,2.264610773639164076e-01
2.250000000000000000e+00,3.066315835478325980e+00,4.390415298511547992e-01,1.498884209879802198e-01
2.299999999999999822e+00,3.088267911970883794e+00,3.803132582035256282e-01,6.567385554133353676e-02
2.349999999999999645e+00,3.107283574881059884e+00,3.149862886689877572e-01,-3.373320654721566336e-02
2.399999999999999467e+00,3.123032889314508953e+00,2.361265124711370011e-01,-1.547714040666386681e-01
2.449999999999999289e+00,3.134839214938065943e+00,1.350687730345424831e-01,-3.076465563975818718e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
