time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.413377885138585088e-01
5.000000000000000278e-02,0.000000000000000000e+00,-7.204113089965924477e-02,-9.445665689193271097e-01
1.000000000000000056e-01,-3.602056544982963019e-03,-3.464746154084491492e-01,-1.412431985857551364e+00
1.500000000000000222e-01,-2.092578731540539055e-02,-7.283636534790079997e-01,-1.834659718499509484e+00
2.000000000000000111e-01,-5.734396998906119564e-02,-1.179398876589370149e+00,-2.187132989814319917e+00
2.500000000000000000e-01,-1.163139138184624832e-01,-1.652830008685831409e+00,-2.448772337942905608e+00
2.999999999999999889e-01,-1.989554142527129310e-01,-2.097276254262870676e+00,-2.603301185532003181e+00
3.499999999999999778e-01,-3.038192269661790235e-01,-2.461372475779229241e+00,-2.640720102767606825e+00
3.999999999999999667e-01,-4.268878507551070456e-01,-2.699006292518884909e+00,-2.558616916593658086e+00
4.499999999999999556e-01,-5.618381653810914367e-01,-2.774613611874612307e+00,-2.361832539416905963e+00
4.999999999999999445e-01,-7.005688459748219410e-01,-2.667132662361896944e+00,-2.060120333047721797e+00
5.499999999999999334e-01,-8.339254790929169214e-01,-2.371034043957717330e+00,-1.666088490725720739e+00
5.999999999999999778e-01,-9.524771812908027213e-01,-1.894149949577965453e+00,-1.191999120219405128e+00
6.500000000000000222e-01,-1.047184678769701005e+00,-1.252702600524253196e+00,-6.481799376051561312e-01
7.000000000000000666e-01,-1.109819808795913687e+00,-4.657451640730416176e-01,-4.288406533702811968e-02
7.500000000000001110e-01,-1.133107066999565760e+00,4.487153619659305370e-01,6.157547801161653567e-01
8.000000000000001554e-01,-1.110671298901269255e+00,1.474166599005434231e+00,1.316351257854911916e+00
8.500000000000001998e-01,-1.036962968950997599e+00,2.592062913649004319e+00,2.038094065875621475e+00
9.000000000000002442e-01,-9.073598232685472498e-01,3.774143115237148738e+00,2.669870858302356709e+00
9.500000000000002887e-01,-7.186526675066897685e-01,4.949716896814649658e+00,2.669870858302356709e+00
1.000000000000000222e+00,-4.711668226659572745e-01,5.875420763984383399e+00,2.669870858302356709e+00
1.050000000000000266e+00,-1.773957844667380379e-01,6.503848890156457507e+00,2.669870858302356709e+00
1.100000000000000311e+00,1.477966600410847986e-01,6.794432624165072987e+00,2.669870858302356709e+00
1.150000000000000355e+00,4.875182912493384313e-01,6.737081656148068198e+00,2.669870858302356709e+00
1.200000000000000400e+00,8.243723740567417968e-01,6.370649340891336720e+00,2.669870858302356709e+00
1.250000000000000444e+00,1.142904841101308966e+00,5.781862042557746051e+00,2.669870858302356709e+00
1.300000000000000488e+00,1.431997943229195824e+00,5.082207584279177404e+00,2.669870858302356709e+00
1.350000000000000533e+00,1.686108322443155005e+00,4.376641365453013854e+00,2.669870858302356709e+00
1.400000000000000577e+00,1.904940390715805565e+00,3.741871586441259279e+00,2.669870858302356709e+00
1.450000000000000622e+00,2.092033970037868507e+00,3.221163920247424706e+00,2.466069298405507926e+00
1.500000000000000666e+00,2.253092166050239875e+00,2.770037806236535616e+00,2.144435534737541449e+00
1.550000000000000711e+00,2.391594056362066567e+00,2.359380230591546557e+00,1.856003600623112870e+00
1.600000000000000755e+00,2.509563067891644295e+00,1.998222125173940045e+00,1.600838435762764966e+00
1.650000000000000799e+00,2.609474174150340886e+00,1.687756249316280988e+00,1.377335275346439625e+00
1.700000000000000844e+00,2.693861986616155502e+00,1.424848160111072959e+00,1.182598623193513498e+00
1.750000000000000888e+00,2.765104394621709094e+00,1.204302437837223128e+00,1.013512939135618351e+00
1.800000000000000933e+00,2.825319516513570051e+00,1.020349493186525791e+00,8.670371777334691110e-01
1.850000000000000977e+00,2.876336991172896429e+00,8.674456759196320643e-01,7.401906994619833480e-01
1.900000000000001021e+00,2.919709274968877999e+00,7.405944369782357928e-01,6.302032436513016478e-01
1.950000000000001066e+00,2.956738996817789733e+00,6.354533276202729564e-01,5.342301398318988204e-01
2.000000000000000888e+00,2.988511663198803348e+00,5.482239303714235845e-01,4.499097598853139535e-01
2.050000000000000711e+00,3.015922859717374394e+00,4.756616039398439133e-01,3.748985514793315432e-01
2.100000000000000533e+00,3.039705939914366439e+00,4.149178036686300697e-01,3.067294485771268064e-01
2.150000000000000355e+00,3.060451830097798531e+00,3.633511859511442954e-01,2.431418520687591567e-01
2.200000000000000178e+00,3.078619389395355288e+00,3.184569470542338299e-01,1.814052491341487938e-01
2.250000000000000000e+00,3.094542236748067054e+00,2.776001967367929257e-01,1.184703175893904725e-01
2.299999999999999822e+00,3.108422246584906734e+00,2.378220339515556558e-01,5.062381025046978900e-02
2.349999999999999645e+00,3.120313348282484522e+00,1.955523385197243946e-01,-2.681255562108657980e-02
2.399999999999999467e+00,3.130090965208470966e+00,1.462443260900642139e-01,-1.202406088935490946e-01
2.449999999999999289e+00,3.137403181512973926e+00,8.378944153638336056e-02,-2.376002933248449467e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
