time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.128572619096446692e-05
9.999999999999995004e-02,0.000000000000000000e+00,8.945022925703703914e-05,5.231046468115686451e-04
1.999999999999999001e-01,8.945022925703720855e-06,1.145294396207923934e-03,-1.583801459501237431e-04
2.999999999999998224e-01,1.234744625464970257e-04,-2.194159325963787426e-04,-1.693953469086167908e-03
3.999999999999998002e-01,1.015328692868590376e-04,-4.099674617993055367e-03,-3.537318572637142798e-03
4.999999999999997780e-01,-3.084345925124476430e-04,-8.539856008970947432e-03,-4.847132909537077254e-03
5.999999999999997558e-01,-1.162420193409540500e-03,-1.064083040812234190e-02,-4.227515879258248073e-03
6.999999999999997335e-01,-2.226503234221774256e-03,-6.810140492476416535e-03,3.670939986685513691e-04
7.999999999999997113e-01,-2.907517283469415997e-03,7.104913734312084256e-03,9.390815353864609763e-03
8.999999999999996891e-01,-2.197025910038208005e-03,3.071912735870124464e-02,2.277391474190723630e-02
9.999999999999996669e-01,8.748868258319148546e-04,6.056098031960256006e-02,3.540107128457873481e-02
1.099999999999999645e+00,6.930984857792165700e-03,8.194037899598194397e-02,3.793471717170152774e-02
1.199999999999999512e+00,1.512502275739036062e-02,7.064876969122825534e-02,1.666442564784340399e-02
1.299999999999999378e+00,2.218989972651317852e-02,-3.502727259971823333e-03,-4.162579609096133532e-02
1.399999999999999245e+00,2.183962700051600078e-02,-1.625819818186551302e-01,-1.394727655170076297e-01
1.499999999999999112e+00,5.581428818650489669e-03,-3.946572970429259586e-01,-2.542835021619114233e-01
1.599999999999998979e+00,-3.388430088564210740e-02,-6.216568897944773076e-01,-3.249664444534969832e-01
1.699999999999998845e+00,-9.604998986508983538e-02,-6.771546489213253750e-01,-2.499275971949228015e-01
1.799999999999998712e+00,-1.637654547572223729e-01,-3.209082089012804673e-01,9.212115935177085657e-02
1.899999999999998579e+00,-1.958562756473503363e-01,6.853106987048671606e-01,7.852550711328526445e-01
1.999999999999998668e+00,-1.273252057768636258e-01,2.423596350100580388e+00,1.753894358104233886e+00
2.099999999999998757e+00,1.150344292331944573e-01,4.534849372436449144e+00,2.500000000000000000e+00
2.199999999999998845e+00,5.685193664768393162e-01,5.649187955441640874e+00,2.500000000000000000e+00
2.299999999999998934e+00,1.133438162021003448e+00,4.424578336044717730e+00,2.500000000000000000e+00
2.399999999999999023e+00,1.575895995625474999e+00,3.069969984046623690e+00,2.500000000000000000e+00
2.499999999999999112e+00,1.882892994030137546e+00,2.584236960497057201e+00,2.330134860119237761e+00
2.599999999999999201e+00,2.141316690079843266e+00,2.307990142263450117e+00,1.920129652075376558e+00
2.699999999999999289e+00,2.372115704306188455e+00,1.739651965042995574e+00,1.547587103074331782e+00
2.799999999999999378e+00,2.546080900810488323e+00,1.329546390275727186e+00,1.231151806069336496e+00
2.899999999999999467e+00,2.679035539838060753e+00,1.026337648894667387e+00,9.718312147244714261e-01
2.999999999999999556e+00,2.781669304727527159e+00,7.958649651679803316e-01,7.635435858899630723e-01
3.099999999999999645e+00,2.861255801244326769e+00,6.186895008122470507e-01,5.982037657065319980e-01
3.199999999999999734e+00,2.923124751325550719e+00,4.816606991517024539e-01,4.678622503963005830e-01
3.299999999999999822e+00,2.971290821240720970e+00,3.753138498328834061e-01,3.655338861985208965e-01
3.399999999999999911e+00,3.008822206224009310e+00,2.926120776409431024e-01,2.854005011355574828e-01
3.500000000000000000e+00,3.038083413988102777e+00,2.282307698383194972e-01,2.227398345603044116e-01
3.599999999999999645e+00,3.060906490971934790e+00,1.780762631695815557e-01,1.737771563020263643e-01
3.699999999999999289e+00,3.078714117288892549e+00,1.389759075749282535e-01,1.355332595318666511e-01
3.799999999999998934e+00,3.092611708046385299e+00,1.084801056062308228e-01,1.056840542201177152e-01
3.899999999999998579e+00,3.103459718607008977e+00,8.472313445777071572e-02,8.241058963844097307e-02
3.999999999999998224e+00,3.111932032052786123e+00,6.626326295875324679e-02,6.426554551124459558e-02
4.099999999999997868e+00,3.118558358348661574e+00,5.193737933892900172e-02,5.010839521491877030e-02
4.199999999999997513e+00,3.123752096282554902e+00,4.082717259070385574e-02,3.908503821767272263e-02
4.299999999999997158e+00,3.127834813541623848e+00,3.229540005666700631e-02,3.044484957225535721e-02
4.399999999999996803e+00,3.131064353547291734e+00,2.567111949785601602e-02,2.382983606890802172e-02
4.499999999999996447e+00,3.133631465497077606e+00,2.092409502861634560e-02,1.862794996396340691e-02
4.599999999999996092e+00,3.135723874999938321e+00,1.734211540696308992e-02,1.453903665084575053e-02
4.699999999999995737e+00,3.137458086540634294e+00,1.478821759977631128e-02,1.114314748855336004e-02
4.799999999999995381e+00,3.138936908300613560e+00,1.271184467288674277e-02,9.581604149264221285e-03
4.899999999999995026e+00,3.140208092767902137e+00,1.384560821891431780e-02,1.219415774478669733e-03
4.999999999999994671e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
