time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.498026647451571103e+00
5.000000000000000278e-02,0.000000000000000000e+00,-4.681333273286159002e-01,-1.856113216671181787e+00
1.000000000000000056e-01,-2.340666636643079848e-02,-1.004281208101302614e+00,-2.167993128180179863e+00
1.500000000000000222e-01,-7.362072677149594790e-02,-1.558927893570244416e+00,-2.372069366670603419e+00
2.000000000000000111e-01,-1.515671214499628994e-01,-2.063854193100975287e+00,-2.493791421961241817e+00
2.500000000000000000e-01,-2.547598311049112940e-01,-2.464529293447251579e+00,-2.523081008344309595e+00
2.999999999999999889e-01,-3.779862957772739396e-01,-2.712911547563537695e+00,-2.438422081852502199e+00
3.499999999999999778e-01,-5.136318731554508910e-01,-2.768035841571794720e+00,-2.207338661961939952e+00
3.999999999999999667e-01,-6.520336652340406047e-01,-2.595815579494536784e+00,-1.800521300970768346e+00
4.499999999999999556e-01,-7.818244442087673995e-01,-2.171027221927108286e+00,-1.215560695057737561e+00
4.999999999999999445e-01,-8.903758053051228361e-01,-1.483370712110323453e+00,-4.937759083301851426e-01
5.499999999999999334e-01,-9.645443409106391197e-01,-5.454354633415448017e-01,2.843211733262512864e-01
5.999999999999999778e-01,-9.918161140777163043e-01,6.022686944127277897e-01,1.022077592973477111e+00
6.500000000000000222e-01,-9.617026793570799814e-01,1.891602354885838055e+00,1.647137286387003074e+00
7.000000000000000666e-01,-8.671225616127881120e-01,3.234724698514943153e+00,2.143141223620432800e+00
7.500000000000001110e-01,-7.053863266870408211e-01,4.536180128584088145e+00,2.566288255717319888e+00
8.000000000000001554e-01,-4.785773202578365582e-01,5.707890546201993764e+00,2.627122256641968079e+00
8.500000000000001998e-01,-1.931827929477368533e-01,6.558460237389736491e+00,2.627122256641968079e+00
9.000000000000002442e-01,1.347402189217500046e-01,7.000000000000000000e+00,2.627122256641968079e+00
9.500000000000002887e-01,4.847402189217500657e-01,7.000000000000000000e+00,2.627122256641968079e+00
1.000000000000000222e+00,8.347402189217500990e-01,6.593319542711224557e+00,2.627122256641968079e+00
1.050000000000000266e+00,1.164406196057311327e+00,5.887370531992537792e+00,2.627122256641968079e+00
1.100000000000000311e+00,1.458774722656938083e+00,5.030028687288339739e+00,2.627122256641968079e+00
1.150000000000000355e+00,1.710276157021354937e+00,4.160875167913436812e+00,2.627122256641968079e+00
1.200000000000000400e+00,1.918319915417026733e+00,3.377427616326756254e+00,2.627122256641968079e+00
1.250000000000000444e+00,2.087191296233364746e+00,2.728825948942483759e+00,2.627122256641968079e+00
1.300000000000000488e+00,2.223632593680489045e+00,2.227621329677823780e+00,2.627122256641968079e+00
1.350000000000000533e+00,2.335013660164380500e+00,1.865668522429549947e+00,2.627122256641968079e+00
1.400000000000000577e+00,2.428297086285858164e+00,1.626478299959525975e+00,2.627122256641968079e+00
1.450000000000000622e+00,2.509621001283834474e+00,1.492600164952690545e+00,2.627122256641968079e+00
1.500000000000000666e+00,2.584251009531469023e+00,1.449253651407238275e+00,2.274740563913239644e+00
1.550000000000000711e+00,2.656713692101830837e+00,1.375639660728351643e+00,1.860579388440119830e+00
1.600000000000000755e+00,2.725495675138247975e+00,1.256547811366589995e+00,1.522878104630772222e+00
1.650000000000000799e+00,2.788323065706577175e+00,1.119003520474814772e+00,1.246264096739746474e+00
1.700000000000000844e+00,2.844273241730317814e+00,9.793120312610649192e-01,1.018178171381584507e+00
1.750000000000000888e+00,2.893238843293370888e+00,8.464421107159155744e-01,8.303092076694109647e-01
1.800000000000000933e+00,2.935560948829166517e+00,7.251369808534374739e-01,6.756572150194071202e-01
1.850000000000000977e+00,2.971817797871838529e+00,6.174355343781482430e-01,5.482867922236612790e-01
1.900000000000001021e+00,3.002689574590745814e+00,5.237028286643378161e-01,4.431883611752240881e-01
1.950000000000001066e+00,3.028874716023963298e+00,4.433193485943441869e-01,3.560240257872847591e-01
2.000000000000000888e+00,3.051040683453680735e+00,3.750878002060973881e-01,2.830830802921616152e-01
2.050000000000000711e+00,3.069795073463985169e+00,3.174991134149334204e-01,2.210944206440725590e-01
2.100000000000000533e+00,3.085670029134732761e+00,2.688594168427998476e-01,1.670985772684498716e-01
2.150000000000000355e+00,3.099112999976872729e+00,2.273327710319170691e-01,1.182898246473325643e-01
2.200000000000000178e+00,3.110479638528468982e+00,1.909108837453906415e-01,7.186980959512789813e-02
2.250000000000000000e+00,3.120025182715738143e+00,1.573261242442536567e-01,2.476000187056447491e-02
2.299999999999999822e+00,3.127891488927950547e+00,1.238692398117134802e-01,-2.912994459738794950e-02
2.349999999999999645e+00,3.134084950918536450e+00,8.635286337546067836e-02,-8.907109459819634312e-02
2.399999999999999467e+00,3.138402594087310149e+00,4.121633145782867269e-02,-3.473804147726653607e-02
2.449999999999999289e+00,3.140463410660401689e+00,2.258485859183096897e-02,-6.106494160313445663e-02
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
