time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.299299786624947411e-02
5.000000000000000278e-02,0.000000000000000000e+00,-3.878506825746107223e-03,-5.107153726463488086e-01
1.000000000000000056e-01,-1.939253412873050142e-04,-1.559256397383843029e-01,-9.984096535947369899e-01
1.500000000000000222e-01,-7.990207328206521895e-03,-4.374773929159309627e-01,-1.462171470147292318e+00
2.000000000000000111e-01,-2.986407697397290562e-02,-8.204015852081514293e-01,-1.877674751837483003e+00
2.500000000000000000e-01,-7.088415623438050484e-02,-1.265895607737305362e+00,-2.220771825951711964e+00
2.999999999999999889e-01,-1.341789366212457757e-01,-1.727075681230544779e+00,-2.471406969468648462e+00
3.499999999999999778e-01,-2.205327206827730480e-01,-2.153133445985770500e+00,-2.611934320367936380e+00
3.999999999999999667e-01,-3.281893929820615674e-01,-2.493267859175367196e+00,-2.635891046405746785e+00
4.499999999999999556e-01,-4.528527859408299494e-01,-2.703405010336290104e+00,-2.539472232972540766e+00
4.999999999999999445e-01,-5.880230364576444213e-01,-2.749791697606341678e+00,-2.329047181159834334e+00
5.499999999999999334e-01,-7.255126213379615718e-01,-2.613560420667349060e+00,-2.015638178124773194e+00
5.999999999999999778e-01,-8.561906423713290248e-01,-2.291272716175910329e+00,-1.609526814986443677e+00
6.500000000000000222e-01,-9.707542781801246079e-01,-1.791341758887093460e+00,-1.123132815872267543e+00
7.000000000000000666e-01,-1.060321366124479248e+00,-1.129819229805971048e+00,-5.692674258758771977e-01
7.500000000000001110e-01,-1.116812327614777889e+00,-3.257741829762934582e-01,4.439890101705885189e-02
8.000000000000001554e-01,-1.133101036763592528e+00,6.031469539947605929e-01,7.095396700863709771e-01
8.500000000000001998e-01,-1.102943689063854649e+00,1.640456526307742413e+00,1.416467457449163359e+00
9.000000000000002442e-01,-1.020920862748467384e+00,2.767472159447310176e+00,2.141493959683621551e+00
9.500000000000002887e-01,-8.825472547761018527e-01,3.953975611647262856e+00,2.669599899223169981e+00
1.000000000000000222e+00,-6.848484741937386211e-01,5.095453709452679725e+00,2.669599899223169981e+00
1.050000000000000266e+00,-4.300757887211045793e-01,5.980525468689509516e+00,2.669599899223169981e+00
1.100000000000000311e+00,-1.310495152866291424e-01,6.561607778341936204e+00,2.669599899223169981e+00
1.150000000000000355e+00,1.970308736304676733e-01,6.801154070000163365e+00,2.669599899223169981e+00
1.200000000000000400e+00,5.370885771304758638e-01,6.695442120623051885e+00,2.669599899223169981e+00
1.250000000000000444e+00,8.718606831616284580e-01,6.290898242364447945e+00,2.669599899223169981e+00
1.300000000000000488e+00,1.186405595279850900e+00,5.679553299380588172e+00,2.669599899223169981e+00
1.350000000000000533e+00,1.470383260248880219e+00,4.973649063507027179e+00,2.669599899223169981e+00
1.400000000000000577e+00,1.719065713424231756e+00,4.274851030434822619e+00,2.669599899223169981e+00
1.450000000000000622e+00,1.932808264945973020e+00,3.654883615003541752e+00,2.669599899223169981e+00
1.500000000000000666e+00,2.115552445696150308e+00,3.152507956606523720e+00,2.438653947396823618e+00
1.550000000000000711e+00,2.273177843526475783e+00,2.712093978374129577e+00,2.118407856935446976e+00
1.600000000000000755e+00,2.408782542445182528e+00,2.312298436122454337e+00,1.831137775277611679e+00
1.650000000000000799e+00,2.524397464251304957e+00,1.961072545838708159e+00,1.577138901212403965e+00
1.700000000000000844e+00,2.622451091543239965e+00,1.659218249977644888e+00,1.354099207963159524e+00
1.750000000000000888e+00,2.705412004042122120e+00,1.403367387037883329e+00,1.160627141403232310e+00
1.800000000000000933e+00,2.775580373394016309e+00,1.188749108739319604e+00,9.922818162479546400e-01
1.850000000000000977e+00,2.835017828830982634e+00,1.009660260813911137e+00,8.468599725590633120e-01
1.900000000000001021e+00,2.885500841871677657e+00,8.609065494166124877e-01,7.198989347331868904e-01
1.950000000000001066e+00,2.928546169342507888e+00,7.373672627215513975e-01,6.095477583216849515e-01
2.000000000000000888e+00,2.965414532478585663e+00,6.348622942514350331e-01,5.122422632397625186e-01
2.050000000000000711e+00,2.997157647191157626e+00,5.495034872043169649e-01,4.270030246735834201e-01
2.100000000000000533e+00,3.024632821551373141e+00,4.783576557591892597e-01,3.493154081264300825e-01
2.150000000000000355e+00,3.048550704339332729e+00,4.181770654787203001e-01,2.763068576383113095e-01
2.200000000000000178e+00,3.069459557613268608e+00,3.658240629820884715e-01,2.057536931984777773e-01
2.250000000000000000e+00,3.087750760762373314e+00,3.183214326500543589e-01,1.339558302391145872e-01
2.299999999999999822e+00,3.103666832394876618e+00,2.722574036316287027e-01,5.699442531194725409e-02
2.349999999999999645e+00,3.117279702576457812e+00,2.236295493925764821e-01,-3.180862823637403691e-02
2.399999999999999467e+00,3.128461180046086643e+00,1.669214999863435078e-01,-1.369894196181548340e-01
2.449999999999999289e+00,3.136807255045403586e+00,9.570797088779502138e-02,-2.713974781737907849e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
