time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.315552148872571991e-01
1.000000000000000056e-01,0.000000000000000000e+00,1.979434118729893333e-01,1.609910866744858726e+00
2.000000000000000111e-01,1.979434118729892986e-02,1.111814159333086582e+00,1.382957090797102051e+00
3.000000000000000444e-01,1.309757571206076054e-01,1.633118363409670870e+00,8.771039774185216409e-01
4.000000000000000222e-01,2.942875934615746814e-01,1.510523766065941409e+00,1.983369486347484889e-01
5.000000000000000000e-01,4.453399700681688334e-01,6.991177120361796726e-01,-5.225956206688893158e-01
5.999999999999999778e-01,5.152517412717868561e-01,-6.249935310081503603e-01,-1.155212798233854032e+00
6.999999999999999556e-01,4.527523881709718534e-01,-2.132203838706795196e+00,-1.571900063773623346e+00
7.999999999999999334e-01,2.395320043002922838e-01,-3.419730399112892005e+00,-1.673327173938989887e+00
8.999999999999999112e-01,-1.024410356109969195e-01,-4.067560316292561318e+00,-1.446415500991444780e+00
9.999999999999998890e-01,-5.091970672402531539e-01,-3.759096292783418392e+00,-9.738552979947503463e-01
1.099999999999999867e+00,-8.851066965185949709e-01,-2.486379188845425414e+00,-3.486308021497977472e-01
1.199999999999999956e+00,-1.133744615403137646e+00,-5.822010019238800238e-01,3.886303607923740078e-01
1.300000000000000044e+00,-1.191964715595525526e+00,1.566429108689661343e+00,1.204269945544434117e+00
1.400000000000000133e+00,-1.035321804726559325e+00,3.734212681405514100e+00,1.968180737076630660e+00
1.500000000000000222e+00,-6.619005365860078927e-01,5.704865870014543816e+00,2.431448934785296334e+00
1.600000000000000311e+00,-9.141394958455353881e-02,7.000000000000000000e+00,2.500000000000000000e+00
1.700000000000000400e+00,6.085860504154465556e-01,7.000000000000000000e+00,2.500000000000000000e+00
1.800000000000000488e+00,1.308586050415446511e+00,5.699204530651059919e+00,2.500000000000000000e+00
1.900000000000000577e+00,1.878506503480552592e+00,3.935800116295939510e+00,2.500000000000000000e+00
2.000000000000000444e+00,2.272086515110146365e+00,2.618600783609339899e+00,2.100965118827101463e+00
2.100000000000000533e+00,2.533946593471080533e+00,1.748582433829080740e+00,1.621084160827348075e+00
2.200000000000000622e+00,2.708804836853988984e+00,1.178644589417832789e+00,1.245312461818181005e+00
2.300000000000000711e+00,2.826669295795771752e+00,8.177782549070831131e-01,9.544492924769557574e-01
2.400000000000000799e+00,2.908447121286480197e+00,5.845914568795431698e-01,7.305702735927581681e-01
2.500000000000000888e+00,2.966906266974433937e+00,4.278501900987328188e-01,5.587873964418366146e-01
2.600000000000000977e+00,3.009691285984307463e+00,3.182871883603128338e-01,4.272108268321780922e-01
2.700000000000001066e+00,3.041520004820339018e+00,2.392888163435663018e-01,3.265343952782030490e-01
2.800000000000001155e+00,3.065448886454695376e+00,1.810761380754918881e-01,2.495457931248028505e-01
2.900000000000001243e+00,3.083556500262244704e+00,1.375668865177655242e-01,1.906939707545695362e-01
3.000000000000001332e+00,3.097313188914021076e+00,1.047592167998367546e-01,1.457144564483076610e-01
3.100000000000001421e+00,3.107789110594004978e+00,7.988787256473199594e-02,1.113415290722350737e-01
3.200000000000001510e+00,3.115777897850477984e+00,6.097280514786185962e-02,8.507565891563530214e-02
3.300000000000001599e+00,3.121875178365264070e+00,4.656064784491809744e-02,6.500516555802438035e-02
3.400000000000001688e+00,3.126531243149755390e+00,3.556756146914798883e-02,4.966873815030209416e-02
3.500000000000001776e+00,3.130087999296670365e+00,2.717742336048573418e-02,3.794961886547291996e-02
3.600000000000001865e+00,3.132805741632719077e+00,2.077214745790997158e-02,2.899447545205388263e-02
3.700000000000001954e+00,3.134882956378509444e+00,1.588206978854935641e-02,2.215130656638699541e-02
3.800000000000002043e+00,3.136471163357364755e+00,1.214967016205062943e-02,1.692192893022571865e-02
3.900000000000002132e+00,3.137686130373570137e+00,9.302580596262538873e-03,1.292562478464764214e-02
4.000000000000001776e+00,3.138616388433196125e+00,7.133280651526309989e-03,9.871338677402743608e-03
4.100000000000001421e+00,3.139329716498349132e+00,5.483723534702162131e-03,7.536381984158639115e-03
4.200000000000001066e+00,3.139878088851819182e+00,4.233631344471027076e-03,5.749875709248880758e-03
4.300000000000000711e+00,3.140301451986266201e+00,3.291402141072423838e-03,4.379450155235287308e-03
4.400000000000000355e+00,3.140630592200374327e+00,2.586655914801276601e-03,3.321526639010577951e-03
4.500000000000000000e+00,3.140889257791854128e+00,2.064383855409156199e-03,2.496815716853038186e-03
4.599999999999999645e+00,3.141095696177395258e+00,1.681970467605830221e-03,1.816684361470023885e-03
4.699999999999999289e+00,3.141263893224155446e+00,1.389863150363182705e-03,1.234752609123068376e-03
4.799999999999998934e+00,3.141402879539191950e+00,1.150093441614599959e-03,4.096036430647370143e-04
4.899999999999998579e+00,3.141517888883353482e+00,7.476470643955350666e-04,-7.075470143157874814e-04
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
